wnver::eOS9lXC6GvMWznF1wkZofDdtbBU
1740n 1161195 ROOT
6409562n 10.9692279317
787218n 10.9692279317
2530167n 10.9692279317
2531625n 10.9692279317
5216365n 13.9649602052
5773049n 13.9649602052
5611302n 12.0190500562
10627082n 12.0190500562
9577601n 12.0190500562
5559256n 13.9649602052
5192897n 13.9649602052
6619850n 13.9649602052
3671668n 13.9649602052
13736799n 11.6623751122
2157557n 10.7460843804
15268367n 10.7460843804
13918274n 10.7460843804
5559256n 10.7460843804
10689104n 10.7460843804
4384199n 10.7460843804
4384016n 10.7460843804
4316646n 10.7460843804
2001858n 10.7460843804
1556178n 10.7460843804
1321796n 10.7460843804
5559256n 13.9649602052
4689660n 12.3555222928
5695232n 12.3555222928
2776205n 12.3555222928
782527n 12.3555222928
93483n 11.7677356279
2551144n 11.7677356279
2206920n 11.7677356279
6818970n 13.9649602052
13774404n 12.8663479166
7440240n 12.8663479166
7407137n 12.8663479166
10271216n 12.173200736
10563183n 12.173200736
10562968n 12.173200736
10562749n 12.173200736
2167571n 12.173200736
13895362n 13.9649602052
5538625n 13.9649602052
317207n 12.8663479166
2077656n 12.8663479166
1438902n 12.8663479166
1629589n 12.8663479166
1433294n 12.8663479166
135857n 12.8663479166
1434140n 12.8663479166
1618547n 12.8663479166
2324478n 12.8663479166
2247390n 12.8663479166
1808218n 12.8663479166
767334n 12.8663479166
15234764n 10.1807705713
15246853n 10.1807705713
15244650n 10.1807705713
13611567n 10.1807705713
6506315n 10.1807705713
5131023n 10.1807705713
1393483n 10.1807705713
310716n 10.1807705713
572285n 13.9649602052
1365549n 13.9649602052
2319050n 13.9649602052
1672490n 13.9649602052
1409177n 13.9649602052
2322230n 13.9649602052
2276866n 13.9649602052
1396790n 13.9649602052
1365709n 13.9649602052
1165290n 13.9649602052
1080883n 13.9649602052
783042n 13.9649602052
781652n 13.9649602052
2979836n 13.9649602052
6275095n 12.5786658441
2934168n 12.5786658441
2933842n 12.5786658441
13652886n 12.5786658441
6278338n 12.5786658441
2933990n 12.5786658441
1007222n 12.5786658441
1288921n 12.5786658441
3688943n 13.9649602052
8401554n 12.5786658441
6818970n 13.9649602052
3316274n 13.2718130247
3316105n 13.2718130247
1007676n 13.2718130247
3688943n 13.9649602052
6343971n 11.0205212261
8680888n 11.0205212261
3239399n 11.0205212261
1935233n 11.0205212261
2440244n 11.0205212261
1999423n 11.0205212261
2729023n 11.0205212261
1931768n 11.0205212261
2754463n 11.0205212261
2694287n 11.0205212261
2624128n 11.0205212261
1590915n 11.0205212261
319939n 12.3555222928
10893606n 12.3555222928
3010283n 12.3555222928
2001858n 12.3555222928
2535093n 12.3555222928
1583881n 12.3555222928
1277649n 12.3555222928
7579399n 13.9649602052
278810n 13.9649602052
1201089n 13.9649602052
10271216n 12.173200736
4681230n 12.0190500562
14585519n 12.0190500562
13774115n 12.0190500562
1273406n 12.0190500562
10271216n 11.6623751122
8216295n 11.6623751122
10431770n 11.6623751122
3930087n 11.6623751122
3929952n 11.6623751122
423563n 11.6623751122
2522153n 11.6623751122
1289026n 11.6623751122
42541n 13.9649602052
13133786n 13.9649602052
13133613n 13.9649602052
13128156n 13.9649602052
13930385n 12.3555222928
1082061n 12.3555222928
5564590n 13.9649602052
10249950n 10.1807705713
127286n 10.7869063749
15139552n 10.7869063749
560529n 10.7869063749
9386842n 10.7869063749
6691083n 10.7869063749
6690408n 10.7869063749
304592n 10.7869063749
13936939n 10.7869063749
7418822n 10.7869063749
7341860n 10.7869063749
7176499n 10.7869063749
6690226n 10.7869063749
6519369n 10.7869063749
787061n 10.7869063749
105820n 10.7869063749
65575n 10.7869063749
286112n 10.7869063749
2050132n 10.7869063749
2051694n 10.7869063749
2466670n 10.7869063749
2072849n 10.7869063749
2230772n 10.7869063749
2685951n 10.7869063749
2049696n 10.7869063749
339934n 10.7869063749
2523351n 10.7869063749
2708420n 10.7869063749
1212230n 10.7869063749
742320n 10.7869063749
421691n 10.7869063749
2525044n 10.7869063749
2669081n 10.7869063749
2523953n 10.7869063749
2423513n 10.7869063749
2221635n 10.7869063749
1972131n 10.7869063749
2231473n 10.7869063749
2229550n 10.7869063749
2052476n 10.7869063749
803325n 10.7869063749
358431n 10.7869063749
72989n 10.7869063749
1241927n 10.7869063749
1117723n 13.9649602052
10707804n 13.2718130247
6339416n 13.9649602052
10474645n 13.9649602052
10366966n 11.1317468612
10345100n 11.1317468612
80705n 11.1317468612
1773130n 11.1317468612
2550698n 11.1317468612
2515194n 11.1317468612
1186428n 11.1317468612
13400662n 10.9692279317
10474645n 10.9692279317
10648696n 10.9692279317
13355868n 10.9692279317
10474950n 10.9692279317
10474446n 10.9692279317
1277426n 10.9692279317
13855627n 9.73085370064
651813n 9.73085370064
5748786n 9.73085370064
5711084n 9.73085370064
5126362n 9.73085370064
661213n 9.73085370064
2666882n 9.73085370064
5216365n 8.36653824623
7965085n 8.36653824623
5217859n 8.36653824623
9224911n 8.36653824623
5549830n 8.36653824623
8436288n 8.36653824623
4934546n 8.36653824623
6394701n 8.36653824623
5024616n 8.36653824623
4261506n 8.36653824623
2861886n 8.36653824623
2698944n 8.36653824623
13930385n 13.9649602052
7366145n 13.9649602052
169806n 13.9649602052
171127n 13.9649602052
126264n 13.9649602052
6362953n 13.9649602052
319939n 11.192371483
5770391n 11.192371483
432689n 11.192371483
431552n 11.192371483
13165815n 11.7677356279
4491769n 11.7677356279
5549830n 11.7677356279
3696065n 11.7677356279
2452967n 11.7677356279
7296428n 8.88355584025
13859043n 8.88355584025
191142n 8.88355584025
11412727n 8.88355584025
13387689n 8.88355584025
3005920n 8.88355584025
3005769n 8.88355584025
13388111n 8.88355584025
13387479n 8.88355584025
4752034n 8.88355584025
126264n 8.88355584025
109660n 8.88355584025
123170n 8.88355584025
550117n 8.88355584025
169458n 8.88355584025
161225n 8.88355584025
2257370n 8.88355584025
2088241n 8.88355584025
551210n 8.88355584025
163251n 8.88355584025
4402057n 13.9649602052
10306181n 13.9649602052
10020890n 13.9649602052
1117723n 13.9649602052
7188685n 13.2718130247
2534492n 13.2718130247
2534936n 13.2718130247
2534761n 13.2718130247
13982692n 13.9649602052
8679369n 13.9649602052
2467662n 13.9649602052
642098n 13.9649602052
2621853n 13.9649602052
1557774n 13.9649602052
2031158n 13.9649602052
1556921n 13.9649602052
10020890n 13.9649602052
10022111n 13.9649602052
432356n 13.9649602052
10021892n 13.9649602052
488430n 13.9649602052
80304n 13.9649602052
260648n 13.9649602052
3673971n 13.2718130247
4316646n 11.7677356279
11316828n 11.7677356279
5559256n 11.7677356279
1300187n 11.7677356279
